english,portuguese
bear,urso
bee,abelha
beetle,escaravelho
bison,bisonte
buffalo,búfalo
bull,touro
camel,camelo
canary,canário
chick,frango
chimpanzee,chimpanzé
cock,rooster
cow,vaca
crab,caranguejo
crocodile,crocodilo
deer,veado
dog,cão
donkey,burro
eagle,águia
fox,raposa
giraffe,girafa
grass,grama
grasshoppers,gafanhotos
hen,galinha
hippopotamus,hipopótamo
horse,cavalo
kangaroo,canguru
lion,leão
mole,toupeira
mosquito,mosquito
palm tree,palmeira
parrot,papagaio
partridge,perdiz
penguin,pinguim
rain,chuva
scorpion,escorpião
seal,foca
sheep,ovelha
Sheep,Ovelha
sky,céu
snail,caracol
snake,
snow,neve
spider,aranha
sun,sol
swallow,andorinha
swan,cisne
tree,árvore
tulip,tulipa
turtle,tartaruga
wasp,vespa
whale,baleia
zebra,zebra
